iter	Passed	Remaining
1156	69381	4617
1157	69440	4557
1158	69501	4497
1159	69558	4437
1160	69630	4378
1161	69687	4317
1162	69741	4257
1163	69801	4197
1164	69857	4137
1165	69914	4077
1166	69969	4017
1167	70024	3956
1168	70080	3896
1169	70134	3836
1170	70190	3776
1171	70247	3716
1172	70301	3655
1173	70351	3595
1174	70405	3535
1175	70464	3475
1176	70519	3415
1177	70576	3355
1178	70635	3295
1179	70692	3235
1180	70747	3174
1181	70803	3114
1182	70859	3054
1183	70915	2994
1184	70973	2934
1185	71030	2874
1186	71087	2814
1187	71150	2754
1188	71206	2694
1189	71263	2634
1190	71320	2574
1191	71377	2514
1192	71439	2455
1193	71494	2395
1194	71550	2335
1195	71614	2275
1196	71670	2215
1197	71726	2155
1198	71788	2095
1199	71845	2035
1200	71901	1975
1201	71958	1915
1202	72014	1855
1203	72069	1795
1204	72125	1735
1205	72180	1675
1206	72235	1615
1207	72289	1555
1208	72342	1495
1209	72398	1436
1210	72454	1376
1211	72509	1316
1212	72564	1256
1213	72624	1196
1214	72680	1136
1215	72736	1076
1216	72793	1016
1217	72848	956
1218	72905	897
1219	72962	837
1220	73020	777
1221	73076	717
1222	73131	657
1223	73188	597
1224	73243	538
1225	73297	478
1226	73354	418
1227	73408	358
1228	73465	298
1229	73516	239
1230	73573	179
1231	73625	119
1232	73680	59
1233	73738	0
